Filename,Mean,HM,Median,Median_Group,Median_High,Median_Low,Mode,Std.Pop,Std,Variance_P,Variance,Min,Max,Range,Q1,Q2,Q3,IQR,85thPercentile,Skewness,Kurtosis, Jerk_Min, Jerk_Max, Jerk_Mean, Snap_Min, Snap_Max, Snap_Mean,Rating
54,85.16,85.08716,85.8,85.8,85.8,85.8,86.7,2.417623,2.448422,5.8449,5.994769,77.1,88.4,11.3,84.95,85.8,86.7,1.75,86.8,-2.06453,4.218798,0,0,0,0,0,0,4
55,74.8075,74.32737,75.6,75.4,75.9,75.3,74.2,5.605327,5.676736,31.41969,32.22533,57.3,82.4,25.1,73.75,75.6,78.55,4.8,79.6,-1.58267,2.674865,-10000,10000,0,-111111111.1,100000000,-27777.77778,4
56,66.0925,64.45145,70,69.6,70.1,69.9,55,9.871155,9.996907,97.43969,99.93815,48,79.1,31.1,55.75,70,73.9,18.15,75.35,-0.62146,-1.08826,0,0,0,0,0,0,4
57,86.195,86.11565,86.65,86.2,86.7,86.6,85.9,2.557142,2.589718,6.538975,6.706641,78.7,88.9,10.2,85.55,86.65,88.2,2.65,88.4,-1.49264,1.888068,0,0,0,0,0,0,4
58,83.12,82.93866,82.5,82.5,82.5,82.5,86,3.901679,3.951384,15.2231,15.61344,77.1,91.5,14.4,80.2,82.5,86,5.8,87.4,0.277383,-0.68675,0,0,0,0,0,0,4
59,77.93,77.76588,77.75,77.4,77.9,77.6,76.6,3.574157,3.61969,12.7746,13.10215,71.3,85.6,14.3,75.95,77.75,80.3,4.35,81.8,0.039228,-0.50604,0,0,0,0,0,0,5
60,80.8125,80.76832,81.05,80.6,81.1,81,79.6,1.886026,1.910053,3.557094,3.648301,77.1,83.6,6.5,79.5,81.05,82.2,2.7,83.35,-0.13763,-0.99964,0,0,0,0,0,0,5
61,80.775,80.48545,81.15,80.8,81.3,81,78.1,4.785956,4.846926,22.90538,23.49269,72,88.4,16.4,77.05,81.15,85,7.95,85.9,-0.31386,-1.11441,0,0,0,0,0,0,5
62,80.8175,80.7769,80.3,80.05,80.3,80.3,80.3,1.837782,1.861194,3.377444,3.464045,78.7,85.4,6.7,79.55,80.3,81.4,1.85,82.95,1.367383,0.89881,0,0,0,0,0,0,4
63,81.4425,81.41408,81.65,81.2,81.7,81.6,81.9,1.521987,1.541376,2.316444,2.37584,78.4,85.1,6.7,80.15,81.65,82.45,2.3,83,0.078598,-0.35321,0,0,0,0,0,0,5
64,80.535,80.47936,80.55,80.1,80.6,80.5,77.7,2.117375,2.144349,4.483275,4.598231,76.8,84.6,7.8,78.4,80.55,82.4,4,82.85,0.047149,-0.98976,0,0,0,0,0,0,5
65,77.855,77.78199,78.2,78.2,78.2,78.2,81,2.370121,2.400315,5.617475,5.761513,73,81.3,8.3,76.1,78.2,79.7,3.6,80.55,-0.37072,-0.95586,0,0,0,0,0,0,5
66,78.8925,78.72694,79.25,78.8,79.3,79.2,79.6,3.619419,3.665528,13.10019,13.4361,73.8,85,11.2,75.15,79.25,82.05,6.9,82.95,0.099252,-1.33266,0,0,0,0,0,0,4
67,83.935,83.90535,83.9,83.9,83.9,83.9,83.2,1.573777,1.593826,2.476775,2.540282,80.5,86.8,6.3,83.2,83.9,85.05,1.85,85.7,-0.23966,-0.27188,0,0,0,0,0,0,4
68,81.56,81.47102,81.4,81.4,81.4,81.4,79.4,2.691171,2.725455,7.2424,7.428103,75.9,85.7,9.8,79.3,81.4,84.15,4.85,84.75,-0.03322,-1.1208,0,0,0,0,0,0,4
69,81.6775,81.58498,81.15,81,81.5,80.8,78.4,2.760841,2.796013,7.622244,7.817686,78.1,86.6,8.5,78.8,81.15,83.95,5.15,85.25,0.287953,-1.29374,0,8333.333333,27.77777778,-92592592.59,69444444.44,-77160.49383,5
70,95.0325,94.95858,94.1,93.93333,94.1,94.1,93.3,2.686111,2.720331,7.215194,7.400199,91.5,101.8,10.3,93.2,94.1,96.75,3.55,98.05,1.028914,0.223707,0,0,0,0,0,0,4
71,88.915,88.80823,89.05,88.6,89.1,89,92.2,3.084279,3.12357,9.512775,9.756692,83.4,94.4,11,86.45,89.05,91.1,4.65,92.3,0.100528,-0.86157,0,0,0,0,0,0,4
72,85.1675,85.15524,85.6,85.2,85.7,85.5,85.8,1.015723,1.028663,1.031694,1.058147,82.5,86.7,4.2,84.35,85.6,85.9,1.55,86,-1.00119,0.415457,0,0,0,0,0,0,5
73,91.0675,90.89127,91.25,90.8,91.3,91.2,84.9,3.989197,4.040017,15.91369,16.32174,82.9,99.6,16.7,89.45,91.25,93.05,3.6,95.05,-0.11875,-0.04102,0,0,0,0,0,0,4
